===== DPKG PACKAGE INVENTORY =====
7zip	23.01+dfsg-11
shim-signed	1.58+15.8-0ubuntu1
simple-scan	46.0-0ubuntu2.1mint1+zena
slick-greeter	2.2.6+zena
smartmontools	7.4-2build1
smbclient	2:4.19.5+dfsg-4ubuntu9.7
sound-theme-freedesktop	0.8-2ubuntu1
speech-dispatcher	0.12.0~rc2-2build3
speech-dispatcher-audio-plugins:amd64	0.12.0~rc2-2build3
speech-dispatcher-espeak-ng	0.12.0~rc2-2build3
speedtest-cli	2.1.3-2
squashfs-tools	1:4.6.1-1build1
ssh-import-id	5.11-0ubuntu2.24.04.1
ssl-cert	1.1.2ubuntu1
sticky	1.31
strace	6.8-0ubuntu2
streamer	3.107-2build3
sudo	1.9.15p5-3ubuntu5.24.04.2
switcheroo-control	2.6-2build2
syslinux	3:6.04~git20190206.bf6db5b4+dfsg1-3ubuntu3
syslinux-common	3:6.04~git20190206.bf6db5b4+dfsg1-3ubuntu3
syslinux-utils	3:6.04~git20190206.bf6db5b4+dfsg1-3ubuntu3
system-config-printer	1.5.18-1ubuntu9
system-config-printer-common	1.5.18-1ubuntu9
system-config-printer-udev	1.5.18-1ubuntu9
system-tools-backends	2.10.2-3.1ubuntu4
systemd	255.4-1ubuntu8.17
systemd-coredump	255.4-1ubuntu8.17
systemd-dev	255.4-1ubuntu8.17
systemd-hwe-hwdb	255.1.7
systemd-resolved	255.4-1ubuntu8.17
systemd-sysv	255.4-1ubuntu8.17
systemd-timesyncd	255.4-1ubuntu8.17
sysvinit-utils	3.08-6ubuntu3
t1utils	1.41-4build3
tailscale	1.102.3
tailscale-archive-keyring	1.35.181
tango-icon-theme	0.8.90-11
tar	1.35+dfsg-3ubuntu0.4
tcl	8.6.14build1
tcl8.6	8.6.14+dfsg-1build1
tcpdump	4.99.4-3ubuntu4.24.04.1
telnet	0.17+2.5-3ubuntu4.2
thermald	2.5.6-2ubuntu0.24.04.5
thingy	1.2.4
thunar	4.18.8+mint1
thunar-archive-plugin:amd64	0.5.2-1build2
thunar-data	4.18.8+mint1
thunar-media-tags-plugin:amd64	0.4.0-1build2
thunar-volman	4.18.0-1build2
thunderbird	1:153.2.0esr+linuxmint1+zena
thunderbird-locale-en	1:153.2.0esr+linuxmint1+zena
thunderbird-locale-en-us	1:153.2.0esr+linuxmint1+zena
time	1.9-0.2build1
timeshift	25.12.4+zena
timgm6mb-soundfont	1.3-5
tnftp	20230507-2build3
touchegg	2.0.16+victoria
tpm-udev	0.6ubuntu1
transmission-common	4.0.5-1build5mint1+wilma
transmission-gtk	4.0.5-1build5mint1+wilma
tree	2.1.1-2ubuntu3.24.04.2
tumbler:amd64	4.18.1-1.1build4
tumbler-common	4.18.1-1.1build4
tzdata	2026c-0ubuntu0.24.04.1
tzdata-legacy	2026c-0ubuntu0.24.04.1
ubuntu-dbgsym-keyring	2023.11.28.1
ubuntu-drivers-common	1:0.9.7.6ubuntu3.7
ubuntu-keyring	2023.11.28.1
ubuntu-mono	24.04-0ubuntu1
ubuntu-system-adjustments	2025.12.16-zena
ucf	3.0043+nmu1
udev	255.4-1ubuntu8.17
udftools	2.3-1build2
udisks2	2.10.1-6ubuntu1.5
ufw	0.36.2-6
uidmap	1:4.13+dfsg1-4ubuntu3.2
uno-libs-private	4:24.2.7-0ubuntu0.24.04.6
unshield	1.5.1-1
untex	1:1.2-7build1
unzip	6.0-28ubuntu4.1
update-inetd	4.53
upower	1.90.3-1
ure	4:24.2.7-0ubuntu0.24.04.6
ure-java	4:24.2.7-0ubuntu0.24.04.6
usb-modeswitch	2.6.1-3ubuntu3
usb-modeswitch-data	20191128-6
usb.ids	2024.03.18-1
usbmuxd	1.1.1-5~exp3ubuntu2.1
usbutils	1:017-3build1
user-setup	1.95ubuntu1
util-linux	2.39.3-9ubuntu6.6
uuid-runtime	2.39.3-9ubuntu6.6
va-driver-all:amd64	2.20.0-2ubuntu0.2
va-driver-all:i386	2.20.0-2ubuntu0.2
vainfo	2.12.0+ds1-1
vdpau-driver-all:i386	1.5-2build1
vdpauinfo	1.5-2
vim-common	2:9.1.0016-1ubuntu7.20
vim-tiny	2:9.1.0016-1ubuntu7.20
vlc	3.0.20-3build6
vlc-bin	3.0.20-3build6
vlc-data	3.0.20-3build6
vlc-l10n	3.0.20-3build6
vlc-plugin-access-extra:amd64	3.0.20-3build6
vlc-plugin-base:amd64	3.0.20-3build6
vlc-plugin-notify:amd64	3.0.20-3build6
vlc-plugin-qt:amd64	3.0.20-3build6
vlc-plugin-samba:amd64	3.0.20-3build6
vlc-plugin-skins2:amd64	3.0.20-3build6
vlc-plugin-video-output:amd64	3.0.20-3build6
vlc-plugin-video-splitter:amd64	3.0.20-3build6
vlc-plugin-visualization:amd64	3.0.20-3build6
vulkan-tools	1.3.275.0+dfsg1-1
wamerican	2020.12.07-2
warpinator	2.0.4+zena
wbritish	2020.12.07-2
webapp-manager	1.4.6
webp-pixbuf-loader:amd64	0.2.4-2build2
wget	1.21.4-1ubuntu4.5
whiptail	0.52.24-2ubuntu2
wine	9.0~repack-4build3
wine32:i386	9.0~repack-4build3
winetricks	20240105-2
wireless-regdb	2026.02.04-0ubuntu1~24.04.1
wireless-tools	30~pre9-16.1ubuntu2
wireplumber	0.4.17-1ubuntu4.1
wl-clipboard	2.2.1-1build1
wmctrl	1.07-7ubuntu3
wpasupplicant	2:2.10-21ubuntu0.4
x11-apps	7.7+11build3
x11-common	1:7.7+23ubuntu3
x11-session-utils	7.7+6build2
x11-utils	7.7+6build2
x11-xkb-utils	7.7+8build2
x11-xserver-utils	7.7+10build2
xapp-appimage-thumbnailer	1.2.9
xapp-epub-thumbnailer	1.2.9
xapp-jxl-thumbnailer	1.2.9
xapp-mp3-thumbnailer	1.2.9
xapp-ora-thumbnailer	1.2.9
xapp-raw-thumbnailer	1.2.9
xapp-symbolic-icons	1.0.9
xapp-thumbnailers-common	1.2.9
xapps-common	3.2.3+zena
xauth	1:1.1.2-1build1
xawtv-plugins:amd64	3.107-2build3
xbitmaps	1.1.1-2.2
xbrlapi	6.6-4ubuntu5
xclip	0.13-3
xcvt	0.1.2-1build1
xdg-dbus-proxy	0.1.5-1ubuntu0.2
xdg-desktop-portal	1.20.0+ds-2ubuntu1
xdg-desktop-portal-gtk	1.15.1-1build2
xdg-desktop-portal-xapp	1.1.3+zena
xdg-user-dirs	0.18-1build1
xdg-user-dirs-gtk	0.11-1build2
xdg-utils	1.1.3-4.1ubuntu3
xed	3.8.9+zena
xed-common	3.8.9+zena
xed-dbg	3.8.9+zena
xfburn	0.7.0-1build2
xfce4	4.18
xfce4-appfinder	4.18.0-1build2
xfce4-battery-plugin:amd64	1.1.5-1build2
xfce4-clipman	2:1.6.5-1build2
xfce4-clipman-plugin	2:1.6.5-1build2
xfce4-cpufreq-plugin:amd64	1.2.8-2build2
xfce4-cpugraph-plugin:amd64	1.2.10-1build2
xfce4-dict	0.8.6-1build2
xfce4-diskperf-plugin:amd64	2.7.0-1build2
xfce4-fsguard-plugin:amd64	1.1.3-1build2
xfce4-genmon-plugin:amd64	4.1.1-1build2
xfce4-goodies:amd64	4.18.2build1
xfce4-helpers	4.18.4-0ubuntu3
xfce4-mailwatch-plugin	1.3.1-1build2
xfce4-netload-plugin:amd64	1.4.1-1build2
xfce4-notifyd	0.9.4-1
xfce4-panel	4.18.4-1ubuntu0.1
xfce4-places-plugin:amd64	1.8.3-1build2
xfce4-power-manager	4.18.3+mint1
xfce4-power-manager-data	4.18.3+mint1
xfce4-power-manager-plugins	4.18.3+mint1
xfce4-pulseaudio-plugin:amd64	0.4.8-1build2
xfce4-screenshooter	1.10.5-1build1
xfce4-sensors-plugin	1.4.4-1build2
xfce4-session	4.18.3-1mint1+zara
xfce4-settings	4.18.4-0ubuntu3
xfce4-smartbookmark-plugin:amd64	0.5.2-1build2
xfce4-systemload-plugin:amd64	1:1.3.2-2ubuntu3
xfce4-taskmanager	1.5.7-1build1
xfce4-terminal	1.1.3-1build1
xfce4-timer-plugin:amd64	1.7.2-1build2
xfce4-verve-plugin:amd64	2.0.3-1build2
xfce4-wavelan-plugin:amd64	0.6.3-1build2
xfce4-weather-plugin:amd64	0.11.2-1build2
xfce4-whiskermenu-plugin	2.8.3-1build2
xfce4-xkb-plugin:amd64	1:0.8.3-1build2
xfconf	4.18.1-1build3
xfdesktop4	4.18.1-1build3
xfdesktop4-data	4.18.1-1build3
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.5-0ubuntu2
xfonts-scalable	1:1.0.3-1.3
xfonts-utils	1:7.7+6build3
xfsprogs	6.6.0-1ubuntu2.1
xfwm4	4.18.0-1build3
xiccd	0.3.0-2build2
xinit	1.4.1-0ubuntu5
xinput	1.6.4-1build1
xkb-data	2.41-2ubuntu1.1
xml-core	0.19
xorg	1:7.7+23ubuntu3
xorg-docs-core	1:1.7.1-1.2
xorgxrdp	1:0.9.19-1
xrdp	0.9.24-4
xreader	4.6.5+wilma
xreader-common	4.6.5+wilma
xreader-dbg	4.6.5+wilma
xserver-common	2:21.1.12-1ubuntu1.6
xserver-xephyr	2:21.1.12-1ubuntu1.6
xserver-xorg	1:7.7+23ubuntu3
xserver-xorg-core	2:21.1.12-1ubuntu1.6
xserver-xorg-input-all	1:7.7+23ubuntu3
xserver-xorg-input-libinput	1.4.0-1ubuntu24.04.1
xserver-xorg-input-wacom	1:1.2.0-1ubuntu2
xserver-xorg-legacy	2:21.1.12-1ubuntu1.6
xserver-xorg-video-all	1:7.7+23ubuntu3
xserver-xorg-video-amdgpu	23.0.0-1ubuntu0.24.04.1
xserver-xorg-video-ati	1:22.0.0-1build1
xserver-xorg-video-fbdev	1:0.5.0-2build2
xserver-xorg-video-intel	2:2.99.917+git20210115-1build1
xserver-xorg-video-nouveau	1:1.0.17-2ubuntu0.1
xserver-xorg-video-qxl	0.1.6-1build1
xserver-xorg-video-radeon	1:22.0.0-1build1
xserver-xorg-video-vesa	1:2.6.0-1ubuntu0.1
xserver-xorg-video-vmware	1:13.4.0-1build1
xviewer	3.4.16+zena
xviewer-dbg	3.4.16+zena
xviewer-plugins	3.4.3+zena
xwayland	2:23.2.6-1ubuntu0.8
xxd	2:9.1.0016-1ubuntu7.20
xz-utils	5.6.1+really5.4.5-1ubuntu0.3
yaru-theme-icon	24.04.2-0ubuntu1
yelp	42.2-1ubuntu0.24.04.2
yelp-xsl	42.1-2ubuntu0.24.04.1
yt-dlp	2024.04.09-1
zenity	3.44.2-1+wilma
zenity-common	3.44.2-1+wilma
zip	3.0-13ubuntu0.2
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.2
zlib1g:i386	1:1.3.dfsg-3.1ubuntu2.2
zlib1g-dev:amd64	1:1.3.dfsg-3.1ubuntu2.2
zstd	1.5.5+dfsg2-2build1.1
